Week Ending Date,Game Type,Sales Amount
01/09/2021,Pulltab,224723.78
01/09/2021,Instaplay,408687.00
01/16/2021,Lotto,7343433.00
01/16/2021,Instant,5151092.00
01/16/2021,Pulltab,364095.00
01/16/2021,Instaplay,376553.00
01/23/2021,Lotto,8063193.00
01/23/2021,Instant,5282969.00
01/23/2021,Pulltab,16885.77
01/23/2021,Instaplay,361944.00
01/30/2021,Lotto,1453727.50
01/30/2021,Instant,8691691.00
01/30/2021,Pulltab,391490.48
01/30/2021,Instaplay,403709.00
02/06/2021,Lotto,1455758.50
02/06/2021,Instant,6651446.00
02/06/2021,Pulltab,249210.00
02/06/2021,Instaplay,498298.00
02/13/2021,Lotto,1414298.00
02/13/2021,Instant,5170301.00
02/13/2021,Pulltab,42660.00
02/13/2021,Instaplay,504860.00
02/20/2021,Lotto,1412305.00
02/20/2021,Instant,6974279.00
02/20/2021,Pulltab,425385.00
02/20/2021,Instaplay,340158.00
02/27/2021,Lotto,1491619.50
02/27/2021,Instant,7165391.00
02/27/2021,Pulltab,196806.55
02/27/2021,Instaplay,421607.00
03/06/2021,Lotto,1576649.00
03/06/2021,Instant,5353331.00
03/06/2021,Pulltab,232048.25
03/06/2021,Instaplay,361650.00
03/13/2021,Lotto,1605526.00
03/13/2021,Instant,5636877.00
03/13/2021,Pulltab,417825.00
03/13/2021,Instaplay,418646.00
03/20/2021,Lotto,1680791.00
03/20/2021,Instant,6875262.00
03/20/2021,Pulltab,8343.53
03/20/2021,Instaplay,498671.00
03/27/2021,Lotto,1751127.50
03/27/2021,Instant,8452483.00
03/27/2021,Pulltab,481950.00
03/27/2021,Instaplay,638061.00
04/03/2021,Lotto,1586804.00
04/03/2021,Instant,6789212.00
04/03/2021,Pulltab,304528.72
04/03/2021,Instaplay,794288.00
04/10/2021,Lotto,1609192.00
04/10/2021,Instant,6630269.00
04/10/2021,Pulltab,304154.03
04/10/2021,Instaplay,429960.00
04/17/2021,Lotto,1668252.50
04/17/2021,Instant,8285802.00
04/17/2021,Pulltab,341907.76
04/17/2021,Instaplay,493615.00
04/24/2021,Lotto,1716836.50
04/24/2021,Instant,6702911.00
04/24/2021,Pulltab,304597.04
04/24/2021,Instaplay,513472.00
05/01/2021,Lotto,1781741.00
05/01/2021,Instant,7779119.00
05/01/2021,Pulltab,292563.54
05/01/2021,Instaplay,339405.00
05/08/2021,Lotto,2022507.00
05/08/2021,Instant,6833076.00
05/08/2021,Pulltab,220017.51
05/08/2021,Instaplay,375689.00
05/15/2021,Lotto,2297591.00
05/15/2021,Instant,6470587.00
05/15/2021,Pulltab,358979.20
05/15/2021,Instaplay,465059.00
05/22/2021,Lotto,2564344.00
05/22/2021,Instant,6794535.00
05/22/2021,Pulltab,260550.00
05/22/2021,Instaplay,610316.00
05/29/2021,Lotto,1712993.00
05/29/2021,Instant,7164028.00
05/29/2021,Pulltab,278505.00
05/29/2021,Instaplay,398019.00
06/05/2021,Lotto,1726965.50
06/05/2021,Instant,6210339.00
06/05/2021,Pulltab,255960.00
06/05/2021,Instaplay,328294.00
06/12/2021,Lotto,1419572.50
06/12/2021,Instant,5604839.00
06/12/2021,Pulltab,196585.73
06/12/2021,Instaplay,344019.00
06/19/2021,Lotto,1452011.50
06/19/2021,Instant,6314009.00
06/19/2021,Pulltab,281070.00
06/19/2021,Instaplay,335734.00
06/26/2021,Lotto,1476974.50
06/26/2021,Instant,5410897.00
06/26/2021,Pulltab,249345.00
06/26/2021,Instaplay,321391.00
07/03/2021,Lotto,1563370.00
07/03/2021,Instant,6445257.00
07/03/2021,Pulltab,301455.00
07/03/2021,Instaplay,321349.00
07/10/2021,Lotto,1554355.00
07/10/2021,Instant,5244434.00
07/10/2021,Pulltab,133391.52
07/10/2021,Instaplay,316081.00
07/17/2021,Lotto,1603964.00
07/17/2021,Instant,4953815.00
07/17/2021,Pulltab,272700.00
07/17/2021,Instaplay,379344.00
07/24/2021,Lotto,1658215.00
07/24/2021,Instant,6267377.00
07/24/2021,Pulltab,259065.00
07/24/2021,Instaplay,414764.00
07/31/2021,Lotto,1691434.00
07/31/2021,Instant,5757731.00
07/31/2021,Pulltab,254880.00
07/31/2021,Instaplay,443079.00
08/07/2021,Lotto,1793107.50
08/07/2021,Instant,5132196.00
08/07/2021,Pulltab,218903.54
08/07/2021,Instaplay,462831.00
08/14/2021,Lotto,1857228.00
08/14/2021,Instant,5725288.00
08/14/2021,Pulltab,269752.03
08/14/2021,Instaplay,364685.00
08/21/2021,Lotto,1893554.00
08/21/2021,Instant,5737863.00
08/21/2021,Pulltab,219504.98
08/21/2021,Instaplay,346020.00
08/28/2021,Lotto,2152890.00
08/28/2021,Instant,6209287.00
08/28/2021,Pulltab,244859.25
08/28/2021,Instaplay,336829.00
09/04/2021,Lotto,2359783.50
09/04/2021,Instant,5373402.00
09/04/2021,Pulltab,249561.00
09/04/2021,Instaplay,384569.00
09/11/2021,Lotto,2523068.00
09/11/2021,Instant,5119519.00
09/11/2021,Pulltab,199530.00
09/11/2021,Instaplay,420053.00
09/18/2021,Lotto,2970315.00
09/18/2021,Instant,5328149.00
09/18/2021,Pulltab,239220.00
09/18/2021,Instaplay,470445.00
09/25/2021,Lotto,2920402.00
09/25/2021,Instant,4877693.00
09/25/2021,Pulltab,260550.00
09/25/2021,Instaplay,607908.00
10/02/2021,Lotto,3824966.00
10/02/2021,Instant,5892066.00
10/02/2021,Pulltab,199530.00
10/02/2021,Instaplay,380111.00
10/09/2021,Lotto,2580195.00
10/09/2021,Instant,4682231.00
10/09/2021,Pulltab,198743.72
10/09/2021,Instaplay,320706.00
10/16/2021,Lotto,1549788.00
10/16/2021,Instant,4269155.00
10/16/2021,Pulltab,273603.26
10/16/2021,Instaplay,296648.00
10/23/2021,Lotto,1610196.00
10/23/2021,Instant,6470312.00
10/23/2021,Pulltab,280935.00
10/23/2021,Instaplay,334703.00
10/30/2021,Lotto,1595012.50
10/30/2021,Instant,6759619.00
10/30/2021,Pulltab,244876.27
10/30/2021,Instaplay,361288.00
11/06/2021,Lotto,1674830.00
11/06/2021,Instant,5016153.00
11/06/2021,Pulltab,256500.00
11/06/2021,Instaplay,400887.00
11/13/2021,Lotto,1678145.00
11/13/2021,Instant,5076109.00
11/13/2021,Pulltab,178065.00
11/13/2021,Instaplay,415026.00
11/20/2021,Lotto,1717412.50
11/20/2021,Instant,6688025.00
11/20/2021,Pulltab,333107.51
11/20/2021,Instaplay,391397.00
11/27/2021,Lotto,1762052.00
11/27/2021,Instant,5467245.00
11/27/2021,Pulltab,131281.49
11/27/2021,Instaplay,385399.00
12/04/2021,Lotto,1892626.00
12/04/2021,Instant,5097715.00
12/04/2021,Pulltab,251100.00
12/04/2021,Instaplay,503946.00
12/11/2021,Lotto,1910451.00
12/11/2021,Instant,6312934.00
12/11/2021,Pulltab,266895.00
12/11/2021,Instaplay,495612.00
12/18/2021,Lotto,2075926.00
12/18/2021,Instant,6010485.00
12/18/2021,Pulltab,302130.00
12/18/2021,Instaplay,375707.00
12/25/2021,Lotto,2344806.00
12/25/2021,Instant,5697483.00
12/25/2021,Pulltab,183060.00
12/25/2021,Instaplay,418488.00
01/01/2022,Lotto,3329656.00
01/01/2022,Instant,5757420.00
01/01/2022,Pulltab,273645.00
01/01/2022,Instaplay,592538.00
01/08/2022,Lotto,3523089.00
01/08/2022,Instant,6976356.00
01/08/2022,Pulltab,256635.00
